Date,status,infected_computers,defaced_websites,defaced_gov,backdoor_websites,backdoor_gov,phishing_webites,new_vulnerabilities,high_risk
2019-01-06,Good,0.2,669,52,553,10,2924,138,44
2019-01-13,Good,0.19,690,41,805,17,3634,225,68
2019-01-20,Good,0.21,638,43,561,9,1718,375,110
2019-01-27,Good,0.24,70,42,600,3,1260,177,65
2019-02-03,,,,,,,,,
2019-02-10,,,,,,,,,
2019-02-17,Excellent,0.25,490,36,396,NaN,795,218,62
2019-02-24,Good,0.27,580,44,445,11,1416,194,48
2019-03-03,Good,0.22,600,31,510,8,1518,379,152
2019-03-10,Good,0.24,700,33,546,13,1700,240,105
2019-03-17,Good,0.18,643,44,1810,22,1171,350,70
2019-03-24,Good,0.21,635,33,1189,22,2903,196,54
2019-03-31,,,,,,,,,
2019-04-07,,,,,,,,,
2019-04-14,Good,0.25,512,34,1057,5,2833,135,47
2019-04-21,,,,,,,,,
2019-04-28,,,,,,,,,
2019-05-05,Good,0.19,5573,17,1001,16,1979,NaN,NaN
2019-05-12,Good,NaN,5187,17,1408,51,1854,277,78
2019-05-19,Good,0.15,1474,1,1077,8,1106,363,111
2019-05-26,,,,,,,,,
2019-06-02,,,,,,,,,
2019-06-09,,,,,,,,,
2019-06-16,Fair,0.22,6736,8,3296,45,10504,293,110
2019-06-23,,,,,,,,,
2019-06-30,Good,0.19,,,3454,62,,200,50
2019-07-07,Good,0.2,845,,3211,32,775,207,74
2019-07-14,Good,0.21,,,3571,28,571,316,123
2019-07-21,Fair,0.21,5135,5,3462,46,542,417,138
2019-07-28,Fair,0.21,,,4085,44,496,443,198
2019-08-04,Good,0.22,,,3433,54,498,308,82
2019-08-11,,,,,,,,,
2019-08-18,Fair,0.23,,,3385,24,117,498,167
